family,batch_label,batch,optimizer,lr,n,mean,sem
native_single_gpu,128K,131072,lite,0.005,3,0.897498870799927,0.0003156266056382551
native_single_gpu,128K,131072,lite,0.01,3,0.8935770070697956,0.0004169711238665569
native_single_gpu,128K,131072,lite,0.02,3,0.8955283281157733,0.0001635256177214241
native_single_gpu,128K,131072,lite,0.04,3,0.9035756750322589,0.00024829499488342215
native_single_gpu,128K,131072,muon,0.005,3,0.8970329084597117,0.00032453470720482646
native_single_gpu,128K,131072,muon,0.01,3,0.8937014786041173,0.000221710137017142
native_single_gpu,128K,131072,muon,0.02,3,0.8959837534378146,0.00020770199574525003
native_single_gpu,128K,131072,muon,0.04,3,0.904334845540296,0.00024341386861149834
native_single_gpu,256K,262144,lite,0.01,3,0.8923006085007006,0.00044517274726710017
native_single_gpu,256K,262144,muon,0.01,3,0.8922397680464488,0.0003296882504029728
native_single_gpu,512K,524288,lite,0.01,3,0.8965039405245238,0.0002170930424661494
native_single_gpu,512K,524288,muon,0.01,3,0.8989257947633494,0.0007449045404477997
native_single_gpu,1M,1048576,lite,0.02,3,0.9106118050036976,0.0026205666840886633
native_single_gpu,1M,1048576,muon,0.01,3,0.9154458425194628,0.003486974199373583
native_single_gpu,4M,4194304,lite,0.04,3,0.9816832708744782,0.008167020984549215
native_single_gpu,4M,4194304,muon,0.04,3,0.9940623186024057,0.010101582295657361
native_single_gpu,16M,16777216,lite,0.04,3,1.3076326966749734,0.00769368407906593
native_single_gpu,16M,16777216,muon,0.04,3,1.3328907471803586,0.005610402532898286
streaming_ddp_top1_old,128K,131072,identity,0.005,1,0.9200448045563637,0.0
streaming_ddp_top1_old,128K,131072,identity,0.01,1,0.916967759255345,0.0
streaming_ddp_top1_old,128K,131072,identity,0.02,1,0.9196062513374547,0.0
streaming_ddp_top1_old,128K,131072,identity,0.04,1,0.9274729672473677,0.0
streaming_ddp_top1_old,128K,131072,top1_damp_a05,0.005,1,0.9204706786387604,0.0
streaming_ddp_top1_old,128K,131072,top1_damp_a05,0.01,1,0.917040211463987,0.0
streaming_ddp_top1_old,128K,131072,top1_damp_a05,0.02,1,0.9198999001390801,0.0
streaming_ddp_top1_old,128K,131072,top1_damp_a05,0.04,1,0.9278625427732348,0.0
streaming_ddp_top1_old,1M,1048576,identity,0.005,1,0.9745478479336864,0.0
streaming_ddp_top1_old,1M,1048576,identity,0.01,1,0.934978943610453,0.0
streaming_ddp_top1_old,1M,1048576,identity,0.02,1,0.9372708967786287,0.0
streaming_ddp_top1_old,1M,1048576,identity,0.04,1,0.9427686428225797,0.0
streaming_ddp_top1_old,1M,1048576,top1_damp_a05,0.01,1,0.9423113244816325,0.0
streaming_ddp_top1_old,1M,1048576,top1_damp_a05,0.02,1,0.9331610452434207,0.0
streaming_ddp_top1_old,1M,1048576,top1_damp_a05,0.04,1,0.9375381005240998,0.0
streaming_ddp_top1_old,8M,8388608,identity,0.01,1,1.1154935489893718,0.0
streaming_ddp_top1_old,8M,8388608,identity,0.02,1,1.0985011151399768,0.0
streaming_ddp_top1_old,8M,8388608,identity,0.04,1,1.1036631176490814,0.0
streaming_ddp_top1_old,8M,8388608,top1_damp_a05,0.01,1,1.099640353668661,0.0
streaming_ddp_top1_old,8M,8388608,top1_damp_a05,0.02,1,1.0831203082196106,0.0
streaming_ddp_top1_old,8M,8388608,top1_damp_a05,0.04,1,1.0878700576615432,0.0
