family,batch_label,batch,optimizer,lr,seed,score,path
native_single_gpu,128K,131072,lite,0.005,42,0.8977014798571469,sweep_results_v18_128k_clean/lite_bsz131072_lr0.005_s42.json
native_single_gpu,128K,131072,lite,0.005,43,0.8979153235889954,sweep_results_v18_128k_clean/lite_bsz131072_lr0.005_s43.json
native_single_gpu,128K,131072,lite,0.005,44,0.8968798089536386,sweep_results_v18_128k_clean/lite_bsz131072_lr0.005_s44.json
native_single_gpu,128K,131072,lite,0.01,42,0.8943403154023214,sweep_results_v18_128k_clean/lite_bsz131072_lr0.01_s42.json
native_single_gpu,128K,131072,lite,0.01,43,0.8934862395593598,sweep_results_v18_128k_clean/lite_bsz131072_lr0.01_s43.json
native_single_gpu,128K,131072,lite,0.01,44,0.8929044662477058,sweep_results_v18_128k_clean/lite_bsz131072_lr0.01_s44.json
native_single_gpu,128K,131072,lite,0.02,42,0.8956964152070576,sweep_results_v18_128k_clean/lite_bsz131072_lr0.02_s42.json
native_single_gpu,128K,131072,lite,0.02,43,0.8956872494446732,sweep_results_v18_128k_clean/lite_bsz131072_lr0.02_s43.json
native_single_gpu,128K,131072,lite,0.02,44,0.8952013196955891,sweep_results_v18_128k_clean/lite_bsz131072_lr0.02_s44.json
native_single_gpu,128K,131072,lite,0.04,42,0.9031678828060732,sweep_results_v18_128k_clean/lite_bsz131072_lr0.04_s42.json
native_single_gpu,128K,131072,lite,0.04,43,0.9040249898460437,sweep_results_v18_128k_clean/lite_bsz131072_lr0.04_s43.json
native_single_gpu,128K,131072,lite,0.04,44,0.9035341524446595,sweep_results_v18_128k_clean/lite_bsz131072_lr0.04_s44.json
native_single_gpu,128K,131072,muon,0.005,42,0.8974191455071667,sweep_results_v18_128k_clean/muon_bsz131072_lr0.005_s42.json
native_single_gpu,128K,131072,muon,0.005,43,0.8972915465473598,sweep_results_v18_128k_clean/muon_bsz131072_lr0.005_s43.json
native_single_gpu,128K,131072,muon,0.005,44,0.8963880333246087,sweep_results_v18_128k_clean/muon_bsz131072_lr0.005_s44.json
