batch_label,batch,winner_in_batch,method,variant,source,family,optimal_lr,best_score,delta_vs_identity_best,quality,seed,path
32K,32768,yes,streaming_lite,LITE-like chi2 tail,v26_streaming_small,same_driver_streaming_ddp,0.005,0.933130615316,-0.001933024926,full_or_historical,42,search_evals/v26_small_bsz_streaming_fair_20260430/lite_chi2_rs01_bsz32768_lr0p005_s42/result.json
32K,32768,,streaming_identity,alpha=1 identity,v26_streaming_small,same_driver_streaming_ddp,0.005,0.935063640242,+0,full_or_historical,42,search_evals/v26_small_bsz_streaming_fair_20260430/identity_bsz32768_lr0p005_s42/result.json
64K,65536,yes,streaming_identity,alpha=1 identity,v26_streaming_small,same_driver_streaming_ddp,0.01,0.922144542015,+0,full_or_historical,42,search_evals/v26_small_bsz_streaming_fair_20260430/identity_bsz65536_lr0p01_s42/result.json
64K,65536,,streaming_lite,LITE-like chi2 tail,v26_streaming_small,same_driver_streaming_ddp,0.01,0.922291040381,+0.000146498366,full_or_historical,42,search_evals/v26_small_bsz_streaming_fair_20260430/lite_chi2_rs01_bsz65536_lr0p01_s42/result.json
64K,65536,,top_aware_muon,"top_k=1, alpha=0.5",v26_streaming_small,same_driver_streaming_ddp,0.01,0.923802321001,+0.001657778986,full_or_historical,42,search_evals/v26_small_bsz_streaming_fair_20260430/top1pm_a05_bsz65536_lr0p01_s42/result.json
128K,131072,yes,native_lite,native LITE,native_single_gpu,native_single_gpu,0.01,0.892904466248,-0.024063293007,full_or_historical,44,sweep_results_v18_128k_clean/lite_bsz131072_lr0.01_s44.json
128K,131072,,native_muon,native Muon,native_single_gpu,native_single_gpu,0.01,0.893412769118,-0.023554990137,full_or_historical,44,sweep_results_v18_128k_clean/muon_bsz131072_lr0.01_s44.json
128K,131072,,native_muon,native Muon,native_ddp_exact_control,native_ddp_or_control,0.01,0.916691571436,-0.000276187819,full_or_historical,42,sweep_results_v21_exact_native_controls_top1/native_muon_bsz131072_lr0.01_s42.json
128K,131072,,streaming_identity,alpha=1 identity,ddp_top1_official,same_driver_streaming_ddp,0.01,0.916967759255,+0,full_or_historical,42,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p01/result.json
128K,131072,,top_aware_muon,"top_k=1, alpha=0.5",ddp_top1_official,same_driver_streaming_ddp,0.01,0.917040211464,+7.24522090001e-05,full_or_historical,42,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p01/result.json
128K,131072,,top_aware_muon,"top_k=1, alpha=0.75",v28_topaware_k1_128k_alpha075_20260430,same_driver_streaming_ddp,0.01,0.917182580054,+0.000214820799,full_or_historical,42,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v28_topaware_k1_128k_alpha075_20260430/top_aware_k1_a0p75_bsz131072_lr0p01_s42/result.json
256K,262144,yes,native_muon,native Muon,native_single_gpu,native_single_gpu,0.01,0.891630208762,-0.023488642581,full_or_historical,44,sweep_results_v13_256k_clean/muon_bsz262144_lr0.01_s44.json
256K,262144,,native_lite,native LITE,native_single_gpu,native_single_gpu,0.01,0.891713422337,-0.023405429006,full_or_historical,42,sweep_results_v13_256k_clean/lite_bsz262144_lr0.01_s42.json
256K,262144,yes,native_muon,native Muon,v29_topaware_k1_256k_alpha_sweep_20260430,native_ddp_or_control,0.01,0.913945547248,-0.001173304095,full_or_historical,42,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/native_muon_bsz262144_lr0p01_s42/result.json
256K,262144,,streaming_lite,LITE-like chi2 tail,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,0.01,0.914020113599,-0.001098737744,full_or_historical,42,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_lite_bsz262144_lr0p01_s42/result.json
256K,262144,,streaming_identity,alpha=1 identity,v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,0.01,0.915118851343,+0,full_or_historical,42,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_identity_bsz262144_lr0p01_s42/result.json
256K,262144,,top_aware_muon,"top_k=1, alpha=0.875",v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,0.01,0.91602283755,+0.000903986207,full_or_historical,42,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p875_bsz262144_lr0p01_s42/result.json
256K,262144,,top_aware_muon,"top_k=1, alpha=0.75",v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,0.01,0.916292214862,+0.001173363519,full_or_historical,42,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p75_bsz262144_lr0p01_s42/result.json
256K,262144,,top_aware_muon,"top_k=1, alpha=0.5",v29_topaware_k1_256k_alpha_sweep_20260430,same_driver_streaming_ddp,0.01,0.916747576993,+0.00162872565,full_or_historical,42,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p5_bsz262144_lr0p01_s42/result.json
