source,batch_label,batch,method,lr,seed,score,status,path
native_ddp_exact_control,128K,131072,native_muon,0.01,42,0.9166915714360024,complete,sweep_results_v21_exact_native_controls_top1/native_muon_bsz131072_lr0.01_s42.json
ddp_top1_official,128K,131072,streaming_identity,0.01,42,0.916967759255345,complete,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p01/result.json
ddp_top1_official,128K,131072,top_aware_k1_a0.5,0.01,42,0.917040211463987,complete,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p01/result.json
v28_topaware_k1_128k_alpha075_20260430,128K,131072,top_aware_k1_a0.75,0.01,42,0.9171825800539681,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v28_topaware_k1_128k_alpha075_20260430/top_aware_k1_a0p75_bsz131072_lr0p01_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,native_muon,0.01,42,0.9139455472482194,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/native_muon_bsz262144_lr0p01_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,streaming_identity,0.01,42,0.9151188513430142,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_identity_bsz262144_lr0p01_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,streaming_lite,0.01,42,0.9140201135989607,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/streaming_lite_bsz262144_lr0p01_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.25,0.02,42,0.9204423498251815,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p25_bsz262144_lr0p02_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.5,0.01,42,0.9167475769932826,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p5_bsz262144_lr0p01_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.75,0.01,42,0.9162922148619687,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p75_bsz262144_lr0p01_s42/result.json
v29_topaware_k1_256k_alpha_sweep_20260430,256K,262144,top_aware_k1_a0.875,0.01,42,0.9160228375502383,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v29_topaware_k1_256k_alpha_sweep_20260430/top_aware_k1_a0p875_bsz262144_lr0p01_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,native_muon,0.01,42,0.9219397196211823,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/native_muon_bsz524288_lr0p01_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,streaming_identity,0.01,42,0.9209642230840286,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/streaming_identity_bsz524288_lr0p01_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.25,0.01,42,0.9238973782986846,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p25_bsz524288_lr0p01_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.5,0.01,42,0.9222030109473867,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p5_bsz524288_lr0p01_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.75,0.02,42,0.9245234378335586,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p75_bsz524288_lr0p02_s42/result.json
v31_topaware_k1_512k_alpha_sweep_20260501,512K,524288,top_aware_k1_a0.875,0.01,42,0.9249701781520442,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v31_topaware_k1_512k_alpha_sweep_20260501/top_aware_k1_a0p875_bsz524288_lr0p01_s42/result.json
