source,batch_label,batch,method,lr,seed,score,status,path
ddp_top1_official,128K,131072,streaming_identity,0.005,42,0.9200448045563637,complete,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p005/result.json
ddp_top1_official,128K,131072,streaming_identity,0.01,42,0.916967759255345,complete,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p01/result.json
ddp_top1_official,128K,131072,streaming_identity,0.02,42,0.9196062513374547,complete,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p02/result.json
ddp_top1_official,128K,131072,streaming_identity,0.04,42,0.9274729672473677,complete,search_evals/ddp8_top1_damp_adaptive_20260429_171235/identity_bsz131072_lr0p04/result.json
ddp_top1_official,128K,131072,top_aware_k1_a0.5,0.005,42,0.9204706786387604,complete,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p005/result.json
ddp_top1_official,128K,131072,top_aware_k1_a0.5,0.01,42,0.917040211463987,complete,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p01/result.json
ddp_top1_official,128K,131072,top_aware_k1_a0.5,0.02,42,0.9198999001390801,complete,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p02/result.json
ddp_top1_official,128K,131072,top_aware_k1_a0.5,0.04,42,0.9278625427732348,complete,search_evals/ddp8_top1_damp_adaptive_20260429_171235/top1_damp_a05_bsz131072_lr0p04/result.json
native_ddp_exact_control,128K,131072,native_muon,0.01,42,0.9166915714360024,complete,sweep_results_v21_exact_native_controls_top1/native_muon_bsz131072_lr0.01_s42.json
v28_topaware_k1_128k_alpha075_20260430,128K,131072,top_aware_k1_a0.75,0.005,42,0.9200442973909032,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v28_topaware_k1_128k_alpha075_20260430/top_aware_k1_a0p75_bsz131072_lr0p005_s42/result.json
v28_topaware_k1_128k_alpha075_20260430,128K,131072,top_aware_k1_a0.75,0.01,42,0.9171825800539681,complete,/blue/yanjun.li/xd7812.princeton/sigma-search/search_evals/v28_topaware_k1_128k_alpha075_20260430/top_aware_k1_a0p75_bsz131072_lr0p01_s42/result.json
