depth,batch_label,batch,alpha,top_k,lr,seed,score,val_bpb_best,val_bpb_final,train_loss_final,steps_completed,tokens,chinchilla_mult,sweep,result_json
12,512K,524288,0.25,1,0.005,42,0.8172785939968141,0.8172785939968141,0.8172785939968141,2.7043877805142107,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz524288_lr0p005_s42/result.json
12,512K,524288,0.25,1,0.0075,42,0.8178460898543108,0.8178460898543108,0.8178460898543108,2.7054007483368,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz524288_lr0p0075_s42/result.json
12,512K,524288,0.25,1,0.01,42,0.8190344835671307,0.8190344835671307,0.8190344835671307,2.7097807063658492,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz524288_lr0p01_s42/result.json
12,512K,524288,0.25,1,0.015,42,0.8230082588246432,0.8230082588246432,0.8230082588246432,2.72199452085177,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz524288_lr0p015_s42/result.json
12,512K,524288,0.25,1,0.02,42,0.8281828182178093,0.8281828182178093,0.8281828182178093,2.73934095709309,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz524288_lr0p02_s42/result.json
12,512K,524288,0.25,1,0.03,42,0.8323971560706857,0.8323971560706857,0.8323971560706857,2.752277221289095,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz524288_lr0p03_s42/result.json
12,512K,524288,0.25,1,0.04,42,0.837809597090532,0.837809597090532,0.837809597090532,2.7697219181766144,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p25_bsz524288_lr0p04_s42/result.json
12,512K,524288,0.5,1,0.005,42,0.8164532903940449,0.8164532903940449,0.8164532903940449,2.702445867427539,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p5_bsz524288_lr0p005_s42/result.json
12,512K,524288,0.5,1,0.0075,42,0.8158586950152631,0.8158586950152631,0.8158586950152631,2.7002787624730042,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
12,512K,524288,0.5,1,0.01,42,0.817052957875741,0.817052957875741,0.817052957875741,2.704167983808958,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p5_bsz524288_lr0p01_s42/result.json
12,512K,524288,0.5,1,0.015,42,0.8210106473211539,0.8210106473211539,0.8210106473211539,2.7146989532419696,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p5_bsz524288_lr0p015_s42/result.json
12,512K,524288,0.5,1,0.02,42,0.8250018851044143,0.8250018851044143,0.8250018851044143,2.7285944978625047,6480,3397386240,2.0,sadhika_alpha_2x_001_d12_2x_alpha,results/alpha-sweep/extracted/search_evals/sadhika_alpha_2x_001_d12_2x_alpha/top_aware_k1_a0p5_bsz524288_lr0p02_s42/result.json
