depth,batch,batch_label,alpha,alpha_label,lr,seed,top_k,score,error,result_json
d12,524288,512K,1.0,c=1,0.015,42,1,0.8196023417176928,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a1_bsz524288_lr0p015_s42/result.json
d12,524288,512K,1.0,c=1,0.0075,42,1,0.8149781054907281,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a1_bsz524288_lr0p0075_s42/result.json
d12,524288,512K,1.0,c=1,0.01,42,1,0.8160953448455216,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a1_bsz524288_lr0p01_s42/result.json
d12,524288,512K,1.0,c=1,0.02,42,1,0.8232223015676267,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a1_bsz524288_lr0p02_s42/result.json
d12,524288,512K,1.0,c=1,0.005,42,1,0.81536394760528,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a1_bsz524288_lr0p005_s42/result.json
d12,524288,512K,1.0,c=1,0.03,42,1,0.8285686603323611,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a1_bsz524288_lr0p03_s42/result.json
d12,524288,512K,1.0,c=1,0.04,42,1,0.8330189958879785,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a1_bsz524288_lr0p04_s42/result.json
d12,524288,512K,0.5,c=0.5,0.005,42,1,0.816966804584811,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p005_s42/result.json
d12,524288,512K,0.5,c=0.5,0.0075,42,1,0.8160663614002971,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p0075_s42/result.json
d12,2097152,2M,1.0,c=1,0.005,42,1,0.8419695185249993,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a1_bsz2097152_lr0p005_s42/result.json
d12,524288,512K,0.5,c=0.5,0.01,42,1,0.8188821755624757,,search_evals/sweep_prefix_002_d12_2x/top_aware_k1_a0p5_bsz524288_lr0p01_s42/result.json
