budget,source,case,alpha,method,lr,score,steps,path
1x Chinchilla,v44_d8_c05_transition_2m8m,top_aware_k1_a0p5_bsz8388608_lr0p01_s42,0.5,c=0.5,0.01,1.434975113153759,48,search_evals/v44_d8_c05_transition_2m8m/top_aware_k1_a0p5_bsz8388608_lr0p01_s42/result.json
1x Chinchilla,v44_d8_c05_transition_2m8m,top_aware_k1_a0p5_bsz8388608_lr0p02_s42,0.5,c=0.5,0.02,1.421837209256318,48,search_evals/v44_d8_c05_transition_2m8m/top_aware_k1_a0p5_bsz8388608_lr0p02_s42/result.json
1x Chinchilla,v44_d8_c05_transition_2m8m,top_aware_k1_a0p5_bsz8388608_lr0p04_s42,0.5,c=0.5,0.04,1.4476868531599685,48,search_evals/v44_d8_c05_transition_2m8m/top_aware_k1_a0p5_bsz8388608_lr0p04_s42/result.json
1x Chinchilla,v44_d8_c05_transition_2m8m,top_aware_k1_a0p5_bsz8388608_lr0p08_s42,0.5,c=0.5,0.08,1.5367538022875469,48,search_evals/v44_d8_c05_transition_2m8m/top_aware_k1_a0p5_bsz8388608_lr0p08_s42/result.json
1x Chinchilla,v44_d8_c05_transition_2m8m,streaming_identity_bsz8388608_lr0p01_s42,1.0,c=1,0.01,1.4750621956731989,48,search_evals/v44_d8_c05_transition_2m8m/streaming_identity_bsz8388608_lr0p01_s42/result.json
1x Chinchilla,v44_d8_c05_transition_2m8m,streaming_identity_bsz8388608_lr0p02_s42,1.0,c=1,0.02,1.4564454557582625,48,search_evals/v44_d8_c05_transition_2m8m/streaming_identity_bsz8388608_lr0p02_s42/result.json
1x Chinchilla,v44_d8_c05_transition_2m8m,streaming_identity_bsz8388608_lr0p04_s42,1.0,c=1,0.04,1.4891495133126822,48,search_evals/v44_d8_c05_transition_2m8m/streaming_identity_bsz8388608_lr0p04_s42/result.json
1x Chinchilla,v44_d8_c05_transition_2m8m,streaming_identity_bsz8388608_lr0p08_s42,1.0,c=1,0.08,1.5809823979573714,48,search_evals/v44_d8_c05_transition_2m8m/streaming_identity_bsz8388608_lr0p08_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256,top_aware_k1_a0p5_bsz8388608_lr0p005_s42,0.5,c=0.5,0.005,0.9618730585538842,384,search_evals/d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256/top_aware_k1_a0p5_bsz8388608_lr0p005_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256,top_aware_k1_a0p5_bsz8388608_lr0p0075_s42,0.5,c=0.5,0.0075,0.9532538540050172,384,search_evals/d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256/top_aware_k1_a0p5_bsz8388608_lr0p0075_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256,top_aware_k1_a0p5_bsz8388608_lr0p01_s42,0.5,c=0.5,0.01,0.9496864521559105,384,search_evals/d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256/top_aware_k1_a0p5_bsz8388608_lr0p01_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256,top_aware_k1_a0p5_bsz8388608_lr0p015_s42,0.5,c=0.5,0.015,0.9473246550586041,384,search_evals/d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256/top_aware_k1_a0p5_bsz8388608_lr0p015_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256,top_aware_k1_a0p5_bsz8388608_lr0p02_s42,0.5,c=0.5,0.02,0.947645690795096,384,search_evals/d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256/top_aware_k1_a0p5_bsz8388608_lr0p02_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a0p75_bsz8388608_lr0p0075_s42,0.75,c=0.75,0.0075,0.9545819754416306,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a0p75_bsz8388608_lr0p0075_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a0p75_bsz8388608_lr0p01_s42,0.75,c=0.75,0.01,0.9511741133559533,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a0p75_bsz8388608_lr0p01_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a0p75_bsz8388608_lr0p015_s42,0.75,c=0.75,0.015,0.9490498870507834,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a0p75_bsz8388608_lr0p015_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a0p75_bsz8388608_lr0p02_s42,0.75,c=0.75,0.02,0.9489680885072268,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a0p75_bsz8388608_lr0p02_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a0p75_bsz8388608_lr0p04_s42,0.75,c=0.75,0.04,0.9597449922816562,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a0p75_bsz8388608_lr0p04_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a0p85_bsz8388608_lr0p0075_s42,0.85,c=0.85,0.0075,0.9547363710982463,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a0p85_bsz8388608_lr0p0075_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a0p85_bsz8388608_lr0p01_s42,0.85,c=0.85,0.01,0.9519650741176962,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a0p85_bsz8388608_lr0p01_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a0p85_bsz8388608_lr0p015_s42,0.85,c=0.85,0.015,0.9491044435638907,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a0p85_bsz8388608_lr0p015_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a0p85_bsz8388608_lr0p02_s42,0.85,c=0.85,0.02,0.9496400827423798,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a0p85_bsz8388608_lr0p02_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256,top_aware_k1_a1_bsz8388608_lr0p005_s42,1.0,c=1,0.005,0.963302250821553,384,search_evals/d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256/top_aware_k1_a1_bsz8388608_lr0p005_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256,top_aware_k1_a1_bsz8388608_lr0p0075_s42,1.0,c=1,0.0075,0.9558588007145256,384,search_evals/d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256/top_aware_k1_a1_bsz8388608_lr0p0075_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256,top_aware_k1_a1_bsz8388608_lr0p01_s42,1.0,c=1,0.01,0.9521765621147217,384,search_evals/d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256/top_aware_k1_a1_bsz8388608_lr0p01_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256,top_aware_k1_a1_bsz8388608_lr0p015_s42,1.0,c=1,0.015,0.9497725253797771,384,search_evals/d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256/top_aware_k1_a1_bsz8388608_lr0p015_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256,top_aware_k1_a1_bsz8388608_lr0p02_s42,1.0,c=1,0.02,0.950424088092093,384,search_evals/d8_chinchilla8_8m_c1_c05_lrsweep_20260503_235256/top_aware_k1_a1_bsz8388608_lr0p02_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a1p15_bsz8388608_lr0p0075_s42,1.15,c=1.15,0.0075,0.9562882249551458,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a1p15_bsz8388608_lr0p0075_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a1p15_bsz8388608_lr0p01_s42,1.15,c=1.15,0.01,0.9529018811754351,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a1p15_bsz8388608_lr0p01_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a1p15_bsz8388608_lr0p015_s42,1.15,c=1.15,0.015,0.9508080847978948,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a1p15_bsz8388608_lr0p015_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a1p15_bsz8388608_lr0p02_s42,1.15,c=1.15,0.02,0.9504719790020053,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a1p15_bsz8388608_lr0p02_s42/result.json
8x Chinchilla,d8_chinchilla8_8m_alpha_refine_20260504_queued,top_aware_k1_a1p15_bsz8388608_lr0p04_s42,1.15,c=1.15,0.04,0.9620924438416516,384,search_evals/d8_chinchilla8_8m_alpha_refine_20260504_queued/top_aware_k1_a1p15_bsz8388608_lr0p04_s42/result.json
