batch,batch_label,method,lr,score,steps_completed,metric_logs,hessian_probes,train_loss_ema_last,sharpness_last,sharpness_max,projection_corr_mean,projection_corr_late_mean,projection_corr_late_std,projection_corr_negative_fraction,projection_norm_late_mean,grad_hessian_top1_last,grad_hessian_l2_last,momentum_hessian_top1_last,momentum_hessian_l2_last,hessian_muon_component_top1_abs_mean_last,hessian_muon_component_top1_abs_max_last,momentum_spectral_to_rms_last,grad_norm_late_mean,momentum_norm_late_mean,path
262144,262K,identity c=1,0.04,0.9674457926337794,1536,1536,31,3.168277868488684,3.9450855255126953,3.9843599796295166,-0.8347825551787177,-0.7122621692830857,0.4401926017598691,0.9423337856173677,0.031401635116139665,-0.0038364671636372805,0.028201679268988596,-0.015747148543596268,0.02662804803061313,0.06570310349828408,0.23343496024608612,374.87491812588377,2.503226302635902e-05,4.185893637583767e-06,search_evals/v58_262k_1m_best_metrics_20260502_095901/streaming_identity_bsz262144_lr0p04_s42/result.json
262144,262K,Top-Aware c=0.5,0.02,0.9694288095843064,1536,1536,31,3.1714416258783498,24.45425796508789,24.45425796508789,-0.8165244754282044,-0.6962735057027265,0.43041592756721697,0.9341926729986432,0.06420751797043596,0.036329738795757294,0.07854771470202157,0.04880776256322861,0.08928004958203335,0.09149080137528169,0.4308150112628937,436.5601934805458,4.144970069634765e-05,7.0006566685490075e-06,search_evals/v58_262k_1m_best_metrics_20260502_095901/top_aware_k1_a0p5_bsz262144_lr0p02_s42/result.json
1048576,1M,identity c=1,0.08,1.002178222221336,384,384,8,3.2902303044218013,0.31195077300071716,0.31195077300071716,-0.7888102998897565,-0.8487871237506099,0.3309587908560026,0.9266304347826086,0.011403403948555676,-0.04953320324420929,0.11418339893769117,-0.04980428144335747,0.08877196306432703,0.1797561717200248,0.6440667510032654,333.7328889510794,1.1592731259645956e-05,1.572165188826151e-06,search_evals/v58_262k_1m_best_metrics_20260502_095901/streaming_identity_bsz1048576_lr0p08_s42/result.json
1048576,1M,Top-Aware c=0.5,0.08,1.0102222286857956,384,384,8,3.3162023221502097,0.8711919784545898,0.9107568860054016,-0.8492367102656356,-0.8924278104436575,0.26708348120451997,0.9619565217391305,0.029440366994770886,0.38733285665512085,0.5004139956392003,0.3124091327190399,0.40892169338145795,0.259868775960058,0.7292977571487427,387.62809041166616,1.3723621511245795e-05,1.8320218239679158e-06,search_evals/v58_262k_1m_best_metrics_20260502_095901/top_aware_k1_a0p5_bsz1048576_lr0p08_s42/result.json
2097152,2M,identity c=1,0.08,1.0677657289987728,192,192,4,3.5182842015578792,0.2255554050207138,0.2255554050207138,-0.852489365214158,-0.9211179509758949,0.16698049159618852,0.9565217391304348,0.008256619557089704,0.05087774991989136,0.15663951931650433,0.04731116443872452,0.15306893768062868,0.05697128250661384,0.20114244520664215,285.791604301535,7.035743090428312e-06,9.63531803401859e-07,search_evals/v46_2m_best_metrics/streaming_identity_bsz2097152_lr0p08_s42/result.json
2097152,2M,Top-Aware c=0.5,0.08,1.0833901202445928,192,192,4,3.5703015914914014,0.21853621304035187,0.21853621304035187,-0.8591754464938751,-0.8700674417344006,0.2937313898377255,0.9510869565217391,0.01090541776180284,-0.1436653435230255,0.2172793237558671,-0.15271693468093872,0.20259102107635427,0.30820408869961585,0.5276440978050232,356.3744480783514,9.486234958403032e-06,1.28280248673799e-06,search_evals/v46_2m_best_metrics/top_aware_k1_a0p5_bsz2097152_lr0p08_s42/result.json
4194304,4M,identity c=1,0.02,1.2066424123322734,96,96,4,4.0238864915755865,0.833035409450531,0.833035409450531,-0.7835834077136083,-0.9761387224380786,0.0345682921895066,0.9090909090909091,0.04872997567333557,0.07680661976337433,0.21168277140609343,0.043004415929317474,0.1719114462915072,0.23017299929536725,0.6163442134857178,347.33387656210147,1.7767093930817373e-05,2.5700024450369173e-06,search_evals/v43_4m_best_metrics/streaming_identity_bsz4194304_lr0p02_s42/result.json
4194304,4M,Top-Aware c=0.5,0.02,1.1766477051200148,96,96,4,3.923087272940551,1.5100280046463013,1.5100280046463013,-0.7791386024222117,-0.9499030480018029,0.09997360129509,0.8977272727272727,0.035094061176534054,-0.1643020063638687,0.18882813538856477,-0.1654893308877945,0.1825209099357312,0.2753170489061934,0.7371751666069031,408.9643371775794,2.0311397882383496e-05,3.0168739641905653e-06,search_evals/v43_4m_best_metrics/top_aware_k1_a0p5_bsz4194304_lr0p02_s42/result.json
8388608,8M,identity c=1,0.02,1.4504627870818718,48,48,4,4.988170451357303,1.0461971759796143,1.4487560987472534,-0.7871461639180779,-0.9662430087725321,0.04346268181390205,0.925,0.06130835127372008,-0.44638144969940186,0.5300901965101847,-0.29531753063201904,0.3526824633506312,0.39391197921941057,0.7009546160697937,459.2512408309239,1.709696732511899e-05,3.1526160541821876e-06,search_evals/v48_8m_best_metrics/streaming_identity_bsz8388608_lr0p02_s42/result.json
8388608,8M,Top-Aware c=0.5,0.02,1.4286259812060578,48,48,4,4.918992876103006,1.7140945196151733,1.7140945196151733,-0.5399300353601575,-0.914273036022981,0.19029906983890857,0.8,0.06410294652988131,0.3723157048225403,0.3926852770804329,0.26484915614128113,0.28709950306786436,0.2514239016842718,0.7381150722503662,502.70781020341263,1.9722206871080906e-05,3.7723498207937954e-06,search_evals/v48_8m_best_metrics/top_aware_k1_a0p5_bsz8388608_lr0p02_s42/result.json
