method,batch,lr,score,train_loss_final,steps,path
adamw,512,0.00025,2.524878084270011,8.797014426138908,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/adamw_bsz512_lr0.00025.json
adamw,512,0.0005,2.5246803412460657,8.794951161848195,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/adamw_bsz512_lr0.0005.json
adamw,512,0.001,2.524354139596039,8.79066920849613,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/adamw_bsz512_lr0.001.json
adamw,512,0.002,2.5232628359902063,8.780789660774955,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/adamw_bsz512_lr0.002.json
adamw,512,0.004,2.522122765683731,8.759994011671896,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/adamw_bsz512_lr0.004_ext.json
adamw,512,0.008,2.5230225707821643,8.73781156333417,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/adamw_bsz512_lr0.008_ext.json
kl_shampoo,512,0.00025,2.5251263781421827,8.799751634583936,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/kl_shampoo_bsz512_lr0.00025.json
kl_shampoo,512,0.0005,2.5251290543635596,8.79968040330902,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/kl_shampoo_bsz512_lr0.0005.json
kl_shampoo,512,0.001,2.525055309596735,8.799275422785605,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/kl_shampoo_bsz512_lr0.001.json
kl_shampoo,512,0.002,2.5250243843719375,8.79907105423332,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/kl_shampoo_bsz512_lr0.002.json
kl_soap,512,0.00025,2.524829317569369,8.796762227024388,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/kl_soap_bsz512_lr0.00025.json
kl_soap,512,0.0005,2.5246178960806094,8.794449514105581,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/kl_soap_bsz512_lr0.0005.json
kl_soap,512,0.001,2.5242753397443916,8.789874071603192,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/kl_soap_bsz512_lr0.001.json
kl_soap,512,0.002,2.5234254907783233,8.780384768550805,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/kl_soap_bsz512_lr0.002.json
kl_soap,512,0.004,2.5222895834828787,8.759463799511966,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/kl_soap_bsz512_lr0.004_ext.json
kl_soap,512,0.008,2.523317847207394,8.738005167300111,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/kl_soap_bsz512_lr0.008_ext.json
plain_muon,512,0.00025,2.5250859374636017,8.799378556020791,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/plain_muon_bsz512_lr0.00025.json
plain_muon,512,0.0005,2.5250918846222166,8.799247820600552,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/plain_muon_bsz512_lr0.0005.json
plain_muon,512,0.001,2.525071366924995,8.799270221634911,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/plain_muon_bsz512_lr0.001.json
plain_muon,512,0.002,2.5250499571539815,8.799048304544645,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/plain_muon_bsz512_lr0.002.json
shampoo,512,0.00025,2.525151356208365,8.799764380364268,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/shampoo_bsz512_lr0.00025.json
shampoo,512,0.0005,2.525111212887715,8.799667170075807,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/shampoo_bsz512_lr0.0005.json
shampoo,512,0.001,2.5251011027180694,8.799410748660065,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/shampoo_bsz512_lr0.001.json
shampoo,512,0.002,2.5250752325780947,8.799117385457658,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/shampoo_bsz512_lr0.002.json
soap,512,0.00025,2.5248370488755683,8.796738682291126,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/soap_bsz512_lr0.00025.json
soap,512,0.0005,2.5246235458812936,8.794404126870024,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/soap_bsz512_lr0.0005.json
soap,512,0.001,2.5242979389471283,8.789828183400097,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/soap_bsz512_lr0.001.json
soap,512,0.002,2.5234430348962373,8.780374887870897,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/soap_bsz512_lr0.002.json
soap,512,0.004,2.5222877993352943,8.759452469460662,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/soap_bsz512_lr0.004_ext.json
soap,512,0.008,2.523327957377039,8.73798904155606,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/soap_bsz512_lr0.008_ext.json
adamw,2048,0.000125,2.370990894740696,7.976715392921362,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/adamw_bsz2048_lr0.000125_ext.json
adamw,2048,0.00025,2.371128125425735,7.977023728303635,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/adamw_bsz2048_lr0.00025.json
adamw,2048,0.0005,2.3716030060411337,7.977280077508612,100,search_evals/nonstream_opt_100step_sweep_20260505_165428/adamw_bsz2048_lr0.0005.json
