batch,method,best_lr,best_bpb,num_lrs
512,adamw,0.004,2.522122765683731,6
512,kl_shampoo,0.002,2.5250243843719375,4
512,kl_soap,0.004,2.5222895834828787,6
512,plain_muon,0.002,2.5250499571539815,4
512,shampoo,0.002,2.5250752325780947,4
512,soap,0.004,2.5222877993352943,6
2048,adamw,0.000125,2.370990894740696,5
2048,kl_shampoo,0.0005,2.3706752492972107,4
2048,kl_soap,0.000125,2.371001004910341,5
2048,plain_muon,0.00025,2.370736505030944,4
2048,shampoo,0.0005,2.3706667745961845,4
2048,soap,0.000125,2.371002937736891,5
