round,coordinate,candidate,matrix_lr,muon_momentum,adam_lr_multiplier,adam_beta1,weight_decay,stamp,status,score,path
0,matrix_lr,0,0.004,0.95,1.0,0.8,0.20,qwen3_d12_muon64_cd_r00_matrix_lr_0p004_20260605,scored,0.863335,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_matrix_lr_0p004_20260605/plain_muon_bsz65536_lr0p004_s42/result.json
0,matrix_lr,1,0.0057,0.95,1.0,0.8,0.20,qwen3_d12_muon64_cd_r00_matrix_lr_0p0057_20260605,scored,0.862294,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_matrix_lr_0p0057_20260605/plain_muon_bsz65536_lr0p0057_s42/result.json
0,matrix_lr,2,0.008,0.95,1.0,0.8,0.20,qwen3_d12_muon64_cd_r00_matrix_lr_0p008_20260605,scored,0.86283,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_matrix_lr_0p008_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
0,matrix_lr,3,0.0113,0.95,1.0,0.8,0.20,qwen3_d12_muon64_cd_r00_matrix_lr_0p0113_20260605,scored,0.863506,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_matrix_lr_0p0113_20260605/plain_muon_bsz65536_lr0p0113_s42/result.json
0,matrix_lr,4,0.016,0.95,1.0,0.8,0.20,qwen3_d12_muon64_cd_r00_matrix_lr_0p016_20260605,scored,0.867247,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_matrix_lr_0p016_20260605/plain_muon_bsz65536_lr0p016_s42/result.json
0,muon_momentum,0,0.008,0.90,1.0,0.8,0.20,qwen3_d12_muon64_cd_r00_muon_momentum_0p9_20260605,scored,0.861531,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_muon_momentum_0p9_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
0,muon_momentum,1,0.008,0.93,1.0,0.8,0.20,qwen3_d12_muon64_cd_r00_muon_momentum_0p93_20260605,scored,0.862439,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_muon_momentum_0p93_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
0,muon_momentum,2,0.008,0.95,1.0,0.8,0.20,qwen3_d12_muon64_cd_r00_muon_momentum_0p95_20260605,scored,0.86241,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_muon_momentum_0p95_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
0,muon_momentum,3,0.008,0.97,1.0,0.8,0.20,qwen3_d12_muon64_cd_r00_muon_momentum_0p97_20260605,scored,0.863746,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_muon_momentum_0p97_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
0,muon_momentum,4,0.008,0.985,1.0,0.8,0.20,qwen3_d12_muon64_cd_r00_muon_momentum_0p985_20260605,scored,0.864971,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_muon_momentum_0p985_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
0,adam_lr_multiplier,0,0.008,0.95,0.25,0.8,0.20,qwen3_d12_muon64_cd_r00_adam_lr_multiplier_0p25_20260605,scored,0.87145,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_adam_lr_multiplier_0p25_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
0,adam_lr_multiplier,1,0.008,0.95,0.5,0.8,0.20,qwen3_d12_muon64_cd_r00_adam_lr_multiplier_0p5_20260605,scored,0.866451,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_adam_lr_multiplier_0p5_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
0,adam_lr_multiplier,2,0.008,0.95,1.0,0.8,0.20,qwen3_d12_muon64_cd_r00_adam_lr_multiplier_1_20260605,scored,0.862539,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_adam_lr_multiplier_1_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
0,adam_lr_multiplier,3,0.008,0.95,1.5,0.8,0.20,qwen3_d12_muon64_cd_r00_adam_lr_multiplier_1p5_20260605,scored,0.861677,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_adam_lr_multiplier_1p5_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
0,adam_lr_multiplier,4,0.008,0.95,2.0,0.8,0.20,qwen3_d12_muon64_cd_r00_adam_lr_multiplier_2_20260605,scored,0.859786,hdfs://haruna/home/byte_data_seed/hdd_hldy/user/xingyu.dang/sigma-search-runs/search_evals/qwen3_d12_muon64_cd_r00_adam_lr_multiplier_2_20260605/plain_muon_bsz65536_lr0p008_s42/result.json
