source,case,method,alpha,batch,batch_label,lr,seed,score,val_bpb_final,steps_completed,tokens,path
v42_d8_c05_vs_identity_0p4B,streaming_identity_bsz262144_lr0p005_s42,streaming_identity,1.0,262144,262K,0.005,42,0.9970244068118078,0.9970244068118078,1536,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/streaming_identity_bsz262144_lr0p005_s42/result.json
v42_d8_c05_vs_identity_0p4B,streaming_identity_bsz262144_lr0p01_s42,streaming_identity,1.0,262144,262K,0.01,42,0.9695266200659729,0.9695266200659729,1536,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/streaming_identity_bsz262144_lr0p01_s42/result.json
v42_d8_c05_vs_identity_0p4B,streaming_identity_bsz262144_lr0p02_s42,streaming_identity,1.0,262144,262K,0.02,42,0.9727261095995963,0.9727261095995963,1536,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/streaming_identity_bsz262144_lr0p02_s42/result.json
v56_262k_seed_confirm,streaming_identity_bsz262144_lr0p02_s43,streaming_identity,1.0,262144,262K,0.02,43,0.9670855602524122,0.9670855602524122,1536,402653184,search_evals/v56_262k_seed_confirm/streaming_identity_bsz262144_lr0p02_s43/result.json
v56_262k_seed_confirm,streaming_identity_bsz262144_lr0p02_s44,streaming_identity,1.0,262144,262K,0.02,44,0.9688670876107063,0.9688670876107063,1536,402653184,search_evals/v56_262k_seed_confirm/streaming_identity_bsz262144_lr0p02_s44/result.json
v42_d8_c05_vs_identity_0p4B,streaming_identity_bsz262144_lr0p04_s42,streaming_identity,1.0,262144,262K,0.04,42,0.967732123762332,0.967732123762332,1536,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/streaming_identity_bsz262144_lr0p04_s42/result.json
v58_262k_1m_best_metrics_20260502_095901,streaming_identity_bsz262144_lr0p04_s42,streaming_identity,1.0,262144,262K,0.04,42,0.9674457926337794,0.9674457926337794,1536,402653184,search_evals/v58_262k_1m_best_metrics_20260502_095901/streaming_identity_bsz262144_lr0p04_s42/result.json
v56_262k_seed_confirm,streaming_identity_bsz262144_lr0p04_s43,streaming_identity,1.0,262144,262K,0.04,43,0.968458312249549,0.968458312249549,1536,402653184,search_evals/v56_262k_seed_confirm/streaming_identity_bsz262144_lr0p04_s43/result.json
v56_262k_seed_confirm,streaming_identity_bsz262144_lr0p04_s44,streaming_identity,1.0,262144,262K,0.04,44,0.9692286965840377,0.9692286965840377,1536,402653184,search_evals/v56_262k_seed_confirm/streaming_identity_bsz262144_lr0p04_s44/result.json
v42_d8_c05_vs_identity_0p4B,streaming_identity_bsz262144_lr0p08_s42,streaming_identity,1.0,262144,262K,0.08,42,0.9770771545373729,0.9770771545373729,1536,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/streaming_identity_bsz262144_lr0p08_s42/result.json
v42_d8_c05_vs_identity_0p4B,top_aware_k1_a0p5_bsz262144_lr0p005_s42,top_aware_muon,0.5,262144,262K,0.005,42,0.995758666726835,0.995758666726835,1536,402653184,search_evals/v42_d8_c05_vs_identity_0p4B/top_aware_k1_a0p5_bsz262144_lr0p005_s42/result.json
