batch,batch_label,method,alpha,lr,n,seeds,mean_score,std_score,min_score,max_score
262144,262K,streaming_identity,1.0,0.04,4,42 42 43 44,0.9682162313074245,0.0007982532981351218,0.9674457926337794,0.9692286965840377
262144,262K,top_aware_muon,0.5,0.02,4,42 42 43 44,0.9694053712948107,0.0038837023244324984,0.9647779574071699,0.9742800645705463
1048576,1M,streaming_identity,1.0,0.08,4,42 42 43 44,1.004063953968709,0.00230857925453859,1.002178222221336,1.0071753959557805
1048576,1M,top_aware_muon,0.5,0.08,4,42 42 43 44,1.0074620893453763,0.003373579065293406,1.0029473748682778,1.0102222286857956
2097152,2M,streaming_identity,1.0,0.08,6,42 42 43 44 45 46,1.0718697119050808,0.007848642748501675,1.0629758410332526,1.0817732767565416
2097152,2M,top_aware_muon,0.5,0.08,6,42 42 43 44 45 46,1.0748963304688848,0.006788649403571167,1.0662482899409782,1.0833901202445928
4194304,4M,streaming_identity,1.0,0.04,4,42 42 43 44,1.2129671459987144,0.010531220767938563,1.2068139791623371,1.228648611471892
4194304,4M,top_aware_muon,0.5,0.04,4,42 42 43 44,1.1872696517332115,0.013134563379447987,1.1758053032901363,1.2033467062655736
8388608,8M,streaming_identity,1.0,0.02,2,42 42,1.4534541214200671,0.004230385590668164,1.4504627870818718,1.4564454557582625
8388608,8M,top_aware_muon,0.5,0.02,2,42 42,1.425231595231188,0.0048003866815899635,1.421837209256318,1.4286259812060578
