catalog_source,source,family,batch_label,batch,method,variant,alpha,top_k,lr,seed,score,status,quality,tokens,depth,path,notes
figures/current_same_driver_v26/raw_rows.csv,v26_streaming_small,same_driver_streaming_ddp,32K,32768,streaming_identity,alpha=1 identity,1,,0.005,42,0.935063640242,complete,full_or_historical,,8,search_evals/v26_small_bsz_streaming_fair_20260430/identity_bsz32768_lr0p005_s42/result.json,
figures/current_same_driver_v26/raw_rows.csv,v26_streaming_small,same_driver_streaming_ddp,32K,32768,streaming_lite,LITE-like chi2 tail,,,0.005,42,0.933130615316,complete,full_or_historical,,8,search_evals/v26_small_bsz_streaming_fair_20260430/lite_chi2_rs01_bsz32768_lr0p005_s42/result.json,
figures/current_same_driver_v26/raw_rows.csv,v26_streaming_small,same_driver_streaming_ddp,64K,65536,streaming_identity,alpha=1 identity,1,,0.01,42,0.922144542015,complete,full_or_historical,,8,search_evals/v26_small_bsz_streaming_fair_20260430/identity_bsz65536_lr0p01_s42/result.json,
figures/current_same_driver_v26/raw_rows.csv,v26_streaming_small,same_driver_streaming_ddp,64K,65536,streaming_lite,LITE-like chi2 tail,,,0.01,42,0.922291040381,complete,full_or_historical,,8,search_evals/v26_small_bsz_streaming_fair_20260430/lite_chi2_rs01_bsz65536_lr0p01_s42/result.json,
figures/current_same_driver_v26/raw_rows.csv,v26_streaming_small,same_driver_streaming_ddp,64K,65536,top_aware_muon,"top_k=1, alpha=0.5",0.5,1,0.01,42,0.923802321001,complete,full_or_historical,,8,search_evals/v26_small_bsz_streaming_fair_20260430/top1pm_a05_bsz65536_lr0p01_s42/result.json,
results/dynamics_128k_200step/summary.json,dynamics_128k_200step,dynamics_smoke,128K,131072,streaming_identity,alpha=1 identity,1,,0.01,42,1.58651209543,complete,smoke_200step,,8,search_evals/v34_real_metrics_smoke_128k_200_streaming_identity_accum2/result.json,"Real 200-step full-statistics smoke runs at 128K, d8, seq1024, 8xB200 DDP, device_batch=8, grad_accum=2, lr=0.01, seed 42."
results/dynamics_128k_200step/summary.json,dynamics_128k_200step,dynamics_smoke,128K,131072,top_aware_muon,"top_k=1, alpha=1.25",1.25,1,0.01,42,1.60097703398,complete,smoke_200step,,8,search_evals/v34_real_metrics_smoke_128k_200_topaware_a1p25_accum2/result.json,"Real 200-step full-statistics smoke runs at 128K, d8, seq1024, 8xB200 DDP, device_batch=8, grad_accum=2, lr=0.01, seed 42."
figures/topaware_alpha_dashboard/raw_rows.csv,native_ddp_exact_control,native_ddp_or_control,128K,131072,native_muon,native Muon,,,0.01,42,0.916691571436,complete,full_or_historical,,8,sweep_results_v21_exact_native_controls_top1/native_muon_bsz131072_lr0.01_s42.json,
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_lite,native LITE,,,0.01,44,0.892904466248,complete,full_or_historical,,8,sweep_results_v18_128k_clean/lite_bsz131072_lr0.01_s44.json,historical native Muon/LITE or older streaming Top-Aware control
figures/historical_large_batch/raw_rows.csv,native_single_gpu,native_single_gpu,128K,131072,native_muon,native Muon,,,0.01,44,0.893412769118,complete,full_or_historical,,8,sweep_results_v18_128k_clean/muon_bsz131072_lr0.01_s44.json,historical native Muon/LITE or older streaming Top-Aware control
